accuracy,avg_valid_rank,rank,avg_valid_len,len
0.4691,2.0479,-1,6.3892,5
0.4678,2.0479,-1,6.3892,1
0.4665,2.0479,-1,6.3892,2
0.4680,2.0655,5,6.3571,1
0.4667,2.0655,-1,6.3571,2
0.4654,2.0655,-1,6.3571,3
0.4641,2.0655,-1,6.3571,4
0.4656,2.0828,5,6.3491,5
0.4670,2.0824,2,6.3471,6
0.4658,2.0824,-1,6.3471,7
0.4645,2.0824,-1,6.3471,8
0.4632,2.0824,-1,6.3471,9
0.4647,2.0819,2,6.3684,10
0.4634,2.0819,-1,6.3684,11
0.4622,2.0819,-1,6.3684,12
0.4636,2.0698,0,6.4070,13
0.4624,2.0698,-1,6.4070,14
0.4638,2.0578,0,6.4566,15
0.4626,2.0578,-1,6.4566,16
0.4613,2.0578,-1,6.4566,17
0.4628,2.0575,2,6.4253,1
0.4615,2.0575,-1,6.4253,2
0.4630,2.0457,0,6.4057,3
0.4617,2.0457,-1,6.4057,4
0.4632,2.0341,0,6.3977,5
0.4646,2.0226,0,6.3955,6
0.4634,2.0226,-1,6.3955,7
0.4648,2.0169,1,6.4045,8
0.4635,2.0169,-1,6.4045,9
0.4649,2.0056,0,6.4246,10
0.4637,2.0056,-1,6.4246,11
0.4651,1.9944,0,6.4556,12
0.4665,1.9834,0,6.4917,13
0.4653,1.9834,-1,6.4917,14
0.4667,1.9835,2,6.5385,15
0.4680,1.9891,3,6.5902,16
0.4694,1.9837,1,6.6467,17
0.4707,1.9730,0,6.7081,18
0.4695,1.9730,-1,6.7081,19
0.4684,1.9730,-1,6.7081,20
0.4697,1.9731,2,6.6774,1
0.4685,1.9731,-1,6.6774,2
0.4698,2.0000,7,6.6578,3
0.4712,1.9947,1,6.6436,4
0.4700,1.9947,-1,6.6436,1
0.4713,1.9841,0,6.6190,2
0.4726,2.0053,6,6.6000,3
0.4739,2.0052,2,6.5864,4
0.4752,2.0260,6,6.5781,5
0.4741,2.0260,-1,6.5781,6
0.4754,2.0155,0,6.5803,7
0.4767,2.0052,0,6.5876,8
0.4755,2.0052,-1,6.5876,9
0.4768,2.0154,4,6.6051,10
0.4780,2.0051,0,6.6276,11
0.4793,1.9949,0,6.6548,12
0.4806,1.9848,0,6.6869,13
0.4818,1.9799,1,6.7236,14
0.4831,1.9700,0,6.7650,15
0.4843,1.9652,1,6.8109,16
0.4856,1.9752,4,6.8614,17
0.4868,1.9852,4,6.9163,18
0.4880,1.9755,0,6.9755,19
0.4869,1.9755,-1,6.9755,20
0.4857,1.9755,-1,6.9755,1
0.4846,1.9755,-1,6.9755,2
0.4858,1.9707,1,6.9561,3
0.4870,1.9612,0,6.9417,4
0.4858,1.9612,-1,6.9417,5
0.4871,1.9517,0,6.9372,6
0.4883,1.9423,0,6.9375,7
0.4871,1.9423,-1,6.9375,8
0.4860,1.9423,-1,6.9375,1
0.4848,1.9423,-1,6.9375,2
0.4837,1.9423,-1,6.9375,3
0.4826,1.9423,-1,6.9375,4
0.4838,1.9617,6,6.9282,5
0.4827,1.9617,-1,6.9282,6
0.4816,1.9617,-1,6.9282,1
0.4828,1.9667,3,6.9048,2
0.4817,1.9667,-1,6.9048,3
0.4828,1.9953,8,6.8910,4
0.4840,2.0000,3,6.8632,1
0.4829,2.0000,-1,6.8632,2
0.4818,2.0000,-1,6.8632,3
0.4830,1.9953,1,6.8357,1
0.4842,1.9860,0,6.8131,2
0.4853,1.9767,0,6.7953,3
0.4842,1.9767,-1,6.7953,4
0.4831,1.9767,-1,6.7953,5
0.4821,1.9767,-1,6.7953,6
0.4810,1.9767,-1,6.7953,7
0.4821,1.9676,0,6.8009,8
0.4833,1.9585,0,6.8111,9
0.4844,1.9495,0,6.8257,10
0.4834,1.9495,-1,6.8257,11
0.4845,1.9726,7,6.8493,12
0.4834,1.9726,-1,6.8493,1
0.4846,1.9636,0,6.8273,2
0.4835,1.9636,-1,6.8273,3
0.4825,1.9636,-1,6.8273,4
0.4836,1.9548,0,6.8190,5
0.4825,1.9548,-1,6.8190,6
0.4837,1.9820,8,6.8198,7
0.4826,1.9820,-1,6.8198,8
0.4816,1.9820,-1,6.8198,1
0.4805,1.9820,-1,6.8198,2
0.4795,1.9820,-1,6.8198,3
0.4806,1.9731,0,6.8072,4
0.4796,1.9731,-1,6.8072,5
0.4807,1.9643,0,6.8036,6
0.4818,1.9778,5,6.8044,7
0.4829,1.9912,5,6.8097,8
0.4819,1.9912,-1,6.8097,1
0.4809,1.9912,-1,6.8097,2
0.4798,1.9912,-1,6.8097,3
0.4809,2.0132,7,6.7974,4
0.4799,2.0132,-1,6.7974,5
0.4810,2.0219,4,6.7939,6
0.4821,2.0131,0,6.7948,7
0.4832,2.0087,1,6.8000,8
0.4822,2.0087,-1,6.8000,1
0.4812,2.0087,-1,6.8000,2
0.4823,2.0087,2,6.7749,1
0.4813,2.0087,-1,6.7749,2
0.4823,2.0086,2,6.7586,3
0.4813,2.0086,-1,6.7586,4
0.4824,2.0000,0,6.7511,5
0.4814,2.0000,-1,6.7511,6
0.4804,2.0000,-1,6.7511,7
0.4815,2.0085,4,6.7564,8
0.4805,2.0085,-1,6.7564,9
0.4795,2.0085,-1,6.7564,1
0.4806,2.0340,8,6.7362,2
0.4816,2.0381,3,6.7203,3
0.4807,2.0381,-1,6.7203,4
0.4797,2.0381,-1,6.7203,1
0.4787,2.0381,-1,6.7203,1
0.4798,2.0380,2,6.7004,2
0.4808,2.0294,0,6.6849,3
0.4798,2.0294,-1,6.6849,4
0.4789,2.0294,-1,6.6849,5
0.4799,2.0586,9,6.6820,6
0.4790,2.0586,-1,6.6820,7
0.4800,2.0500,0,6.6875,8
0.4790,2.0500,-1,6.6875,9
0.4801,2.0664,6,6.7012,10
0.4811,2.0579,0,6.7190,11
0.4821,2.0494,0,6.7407,12
0.4832,2.0451,1,6.7664,13
0.4822,2.0451,-1,6.7664,1
0.4813,2.0451,-1,6.7664,2
0.4823,2.0367,0,6.7510,3
0.4833,2.0488,5,6.7398,4
0.4843,2.0445,1,6.7328,5
0.4853,2.0565,5,6.7298,6
0.4863,2.0482,0,6.7309,7
0.4873,2.0440,1,6.7360,8
0.4883,2.0438,2,6.7131,1
0.4893,2.0556,5,6.6944,2
0.4884,2.0556,-1,6.6944,3
0.4874,2.0556,-1,6.6944,4
0.4884,2.0672,5,6.6719,1
0.4894,2.0591,0,6.6535,2
0.4904,2.0745,6,6.6392,3
0.4894,2.0745,-1,6.6392,1
0.4904,2.0898,6,6.6172,1
0.4895,2.0898,-1,6.6172,2
0.4885,2.0898,-1,6.6172,3
0.4895,2.0817,0,6.6070,4
0.4886,2.0817,-1,6.6070,5
0.4877,2.0817,-1,6.6070,6
0.4886,2.0814,2,6.6085,7
0.4896,2.1042,8,6.6139,8
0.4887,2.1042,-1,6.6139,9
0.4878,2.1042,-1,6.6139,1
0.4887,2.1038,2,6.5962,2
0.4878,2.1038,-1,6.5962,3
0.4869,2.1038,-1,6.5962,4
0.4879,2.1149,5,6.5747,1
0.4869,2.1149,-1,6.5747,1
0.4860,2.1149,-1,6.5747,1
0.4870,2.1298,6,6.5573,2
0.4879,2.1217,0,6.5437,3
0.4889,2.1326,5,6.5341,4
0.4898,2.1283,1,6.5283,5
0.4889,2.1283,-1,6.5283,6
0.4899,2.1466,7,6.5301,7
0.4890,2.1466,-1,6.5301,8
0.4881,2.1466,-1,6.5301,9
0.4890,2.1461,2,6.5094,1
0.4881,2.1461,-1,6.5094,2
0.4891,2.1530,4,6.4963,3
0.4882,2.1530,-1,6.4963,1
0.4873,2.1530,-1,6.4963,1
0.4882,2.1524,2,6.4796,2
0.4891,2.1444,0,6.4667,3
0.4882,2.1444,-1,6.4667,4
0.4874,2.1444,-1,6.4667,1
0.4883,2.1439,2,6.4502,2
0.4874,2.1439,-1,6.4502,3
0.4883,2.1360,0,6.4412,4
0.4892,2.1319,1,6.4359,5
0.4902,2.1533,8,6.4343,6
0.4911,2.1709,7,6.4364,7
0.4902,2.1709,-1,6.4364,8
0.4893,2.1709,-1,6.4364,1
0.4885,2.1709,-1,6.4364,2
0.4894,2.1630,0,6.4239,3
0.4885,2.1630,-1,6.4239,4
0.4876,2.1630,-1,6.4239,5
0.4868,2.1630,-1,6.4239,6
0.4877,2.1805,7,6.4260,7
0.4868,2.1805,-1,6.4260,8
0.4860,2.1805,-1,6.4260,1
0.4851,2.1805,-1,6.4260,2
0.4860,2.2014,8,6.4137,3
0.4869,2.1935,0,6.4050,4
0.4878,2.1857,0,6.4000,5
0.4870,2.1857,-1,6.4000,6
0.4861,2.1857,-1,6.4000,7
0.4853,2.1857,-1,6.4000,1
0.4844,2.1857,-1,6.4000,1
0.4836,2.1857,-1,6.4000,2
0.4845,2.1993,6,6.3879,3
0.4854,2.1950,1,6.3794,4
0.4863,2.1908,1,6.3746,5
0.4854,2.1908,-1,6.3746,6
0.4863,2.1937,3,6.3768,7
0.4872,2.1860,0,6.3825,8
0.4881,2.1993,6,6.3916,9
0.4889,2.2091,5,6.3728,1
0.4898,2.2014,0,6.3576,2
0.4907,2.1938,0,6.3460,3
0.4898,2.1938,-1,6.3460,4
0.4890,2.1938,-1,6.3460,1
0.4882,2.1938,-1,6.3460,2
